Tanggal,IN / OUT,Nomor GDN/GRN,Gudang,Dari/Kepada-Masking,Nama Barang,Merk/Jenis-Deleted,Satuan, Masuk, Keluar,Nilai, Jumlah,Berat,Total Berat
01-Feb-20,IN,1.01,G2,Gudang Regional PMI_Serang,Masker Bedah,Sensi,Pcs,"350,000",,"Rp7,000","Rp2,450,000,000",0.006,2100
01-Feb-20,OUT,1.01,G2,Ketua Umum,Masker N95,3M,Pcs,,800,"Rp108,240","Rp86,592,000",0.04,32
01-Feb-20,OUT,1.02,G2,PMI Kabupaten Natuna,Masker Bedah,Sensi,Pcs,,"20,000","Rp7,000","Rp140,000,000",0.006,120
05-Feb-20,OUT,5.01,G2,Palang Merah Hongkong,Masker Bedah,Sensi,Pcs,,"50,000","Rp7,000","Rp350,000,000",0.006,300
05-Feb-20,OUT,5.02,G2,Lain-lain,Masker Bedah,Sensi,Pcs,,"4,000","Rp7,000","Rp28,000,000",0.006,24
05-Feb-20,OUT,5.02,G2,Lain-lain,Masker N95,3M,Pcs,,"1,000","Rp108,240","Rp108,240,000",0.04,40
05-Feb-20,OUT,5.03,G2,Staff MP PMI,Masker Bedah,Sensi,Pcs,,200,"Rp7,000","Rp1,400,000",0.006,1.2
11-Feb-20,OUT,11.01,G2,Individu,Masker Bedah,Sensi,Pcs,,100,"Rp7,000","Rp700,000",0.006,0.6
12-Feb-20,OUT,12.01,G2,Individu,Masker Bedah,Sensi,Pcs,,100,"Rp7,000","Rp700,000",0.006,0.6
14-Feb-20,OUT,14.01,G2,Staff MP PMI,Masker Bedah,Sensi,Pcs,,100,"Rp7,000","Rp700,000",0.006,0.6
17-Feb-20,OUT,17.01,G2,Individu,Masker Bedah,Sensi,Pcs,,"2,000","Rp7,000","Rp14,000,000",0.006,12
17-Feb-20,OUT,17.02,G2,MP PMI,Masker Bedah,Sensi,Pcs,,250,"Rp7,000","Rp1,750,000",0.006,1.5
24-Feb-20,OUT,24.01,G2,Individu,Masker Bedah,Sensi,Pcs,,500,"Rp7,000","Rp3,500,000",0.006,3
24-Feb-20,OUT,24.01,G2,Individu,Masker N95,3M,Pcs,,100,"Rp108,240","Rp10,824,000",0.04,4
24-Feb-20,OUT,24.02,G2,MP PMI,Masker Bedah,Sensi,Pcs,,50,"Rp7,000","Rp350,000",0.006,0.3
24-Feb-20,OUT,24.03,G2,MP PMI,Masker Bedah,Sensi,Pcs,,50,"Rp7,000","Rp350,000",0.006,0.3
24-Feb-20,OUT,24.04,G2,MP PMI,Masker Bedah,Sensi,Pcs,,150,"Rp7,000","Rp1,050,000",0.006,0.9
24-Feb-20,OUT,24.05,G2,MP PMI,Masker Bedah,Sensi,Pcs,,50,"Rp7,000","Rp350,000",0.006,0.3
02-Mar-20,IN,2.01,G1,Gudang Regional PMI_Serang,Hazmat,Typek,Pcs,300,,"Rp275,000","Rp82,500,000",0.08,24
02-Mar-20,IN,2.02,G1,Swasta,Kacamata,Krisbow,Pcs,6,,"Rp148,500","Rp891,000",0.03,0.18
02-Mar-20,IN,2.03,G1,Swasta,Kacamata,Krisbow,Pcs,10,,"Rp148,500","Rp1,485,000",0.03,0.3
02-Mar-20,IN,2.04,G1,Swasta,Sepatu Boot,Krisbow,Pasang,2,,"Rp165,000","Rp330,000",1.8,3.6
02-Mar-20,IN,2.04,G1,Swasta,Sepatu Boot,Krisbow,Pasang,2,,"Rp165,000","Rp330,000",1.8,3.6
02-Mar-20,IN,2.04,G1,Swasta,Sepatu Boot,Krisbow,Pasang,1,,"Rp165,000","Rp165,000",1.8,1.8
02-Mar-20,IN,2.04,G1,Swasta,Sepatu Boot,Krisbow,Pasang,6,,"Rp165,000","Rp990,000",1.8,10.8
02-Mar-20,OUT,3.02,G2,MP PMI,Masker Bedah,Sensi,Pcs,,600,"Rp7,000","Rp4,200,000",0.006,3.6
03-Mar-20,OUT,3.01,G2,Individu,Masker Bedah,Sensi,Pcs,,100,"Rp7,000","Rp700,000",0.006,0.6
03-Mar-20,OUT,3.01,G2,Individu,Masker N95,3M,Pcs,,40,"Rp108,240","Rp4,329,600",0.04,1.6
03-Mar-20,OUT,3.01,G5,PMI Kota Depok,Virkon,2.5 Kg,Can,,5,"Rp2,200,000","Rp11,000,000",2.5,12.5
03-Mar-20,OUT,3.01,G5,PMI Kota Depok,Disinfektan 5 Liter,5 Liter,Jerigen,,2,"Rp45,000","Rp90,000",5,10
03-Mar-20,IN,3.01,G1,Swasta,Sepatu Boot,AP Boot,Pasang,200,,"Rp165,000","Rp33,000,000",1.8,360
03-Mar-20,IN,3.01,G1,Swasta,Kacamata,Krisbow,Pcs,100,,"Rp148,500","Rp14,850,000",0.03,3
03-Mar-20,IN,3.02,G5,Swasta,Virkon,2.5 Kg,Can,5,,"Rp2,200,000","Rp11,000,000",2.5,12.5
03-Mar-20,OUT,3.08,G2,MP PMI,Masker Bedah,Sensi,Pcs,,200,"Rp7,000","Rp1,400,000",0.006,1.2
03-Mar-20,OUT,3.1,G2,MP PMI,Masker Bedah,Sensi,Pcs,,300,"Rp7,000","Rp2,100,000",0.006,1.8
03-Mar-20,OUT,3.1,G2,Staff MP PMI,Masker Bedah,Sensi,Pcs,,"10,100","Rp7,000","Rp70,700,000",0.006,60.6
03-Mar-20,OUT,4.03,G2,Driver,Masker Bedah,Sensi,Pcs,,50,"Rp7,000","Rp350,000",0.006,0.3
03-Mar-20,OUT,5.03,G1,PMI Kota Depok,Hazmat,Typek,Pcs,,6,"Rp275,000","Rp1,650,000",0.08,0.48
03-Mar-20,OUT,5.03,G1,PMI Kota Depok,Kacamata,Krisbow,Pcs,,6,"Rp148,500","Rp891,000",0.03,0.18
03-Mar-20,OUT,5.04,G1,PMI Kota Depok,Sarung Tangan Karet,Krisbow,Pasang,,6,"Rp150,000","Rp900,000",0.08,0.48
03-Mar-20,OUT,5.05,G2,Paspampres,Masker N95,3M,Pcs,,100,"Rp108,240","Rp10,824,000",0.04,4
03-Mar-20,OUT,6.01,G1,PMI Kota Depok,Sepatu Boot,AP Boot,Pasang,,6,"Rp165,000","Rp990,000",1.8,10.8
03-Mar-20,OUT,6.02,G2,PMI Kota Depok,Masker N95,3M,Pcs,,20,"Rp108,240","Rp2,164,800",0.04,0.8
03-Mar-20,OUT,9.01,G3,PMI Kota Depok,Sprayer,Elektrik,Unit,,3,"Rp650,000","Rp1,950,000",7.3,21.9
04-Mar-20,OUT,4.01,G2,Driver,Masker Bedah,Sensi,Pcs,,50,"Rp7,000","Rp350,000",0.006,0.3
04-Mar-20,OUT,4.01,G2,MP PMI,Masker Bedah,Sensi,Pcs,,250,"Rp7,000","Rp1,750,000",0.006,1.5
